step,time,kinetic,potential,total
122,0.24400000,0.11492806,0.15639640,0.27132446
123,0.24600000,0.12043552,0.16948655,0.28992207
124,0.24800000,0.12525320,0.18364586,0.30889906
125,0.25000000,0.12931864,0.19887265,0.32819129
126,0.25200000,0.13258047,0.21515339,0.34773386
127,0.25400000,0.13499878,0.23246241,0.36746119
128,0.25600000,0.13654547,0.25076172,0.38730719
129,0.25800000,0.13720438,0.27000104,0.40720542
130,0.26000000,0.13697123,0.29011794,0.42708917
131,0.26200000,0.13585357,0.31103816,0.44689173
132,0.26400000,0.13387044,0.33267604,0.46654649
133,0.26600000,0.13105203,0.35493509,0.48598712
134,0.26800000,0.12743915,0.37770868,0.50514783
135,0.27000000,0.12308263,0.40088088,0.52396351
136,0.27200000,0.11804260,0.42432731,0.54236992
137,0.27400000,0.11238772,0.44791623,0.56030394
138,0.27600000,0.10619421,0.47150955,0.57770376
139,0.27800000,0.09954496,0.49496409,0.59450905
140,0.28000000,0.09252841,0.51813278,0.61066119
141,0.28200000,0.08523749,0.54086599,0.62610349
142,0.28400000,0.07776845,0.56301288,0.64078133
143,0.28600000,0.07021960,0.58442280,0.65464240
144,0.28800000,0.06269016,0.60494673,0.66763689
145,0.29000000,0.05527891,0.62443871,0.67971762
146,0.29200000,0.04808300,0.64275729,0.69084028
147,0.29400000,0.04119664,0.65976693,0.70096357
148,0.29600000,0.03470991,0.67533945,0.71004936
149,0.29800000,0.02870753,0.68935533,0.71806287
150,0.30000000,0.02326773,0.70170507,0.72497280
151,0.30200000,0.01846116,0.71229034,0.73075150
152,0.30400000,0.01434990,0.72102519,0.73537509
153,0.30600000,0.01098656,0.72783702,0.73882358
154,0.30800000,0.00841349,0.73266753,0.74108102
155,0.31000000,0.00666211,0.73547349,0.74213560
156,0.31200000,0.00575237,0.73622736,0.74197973
157,0.31400000,0.00569240,0.73491775,0.74061015
158,0.31600000,0.00647828,0.73154976,0.73802803
159,0.31800000,0.00809395,0.72614506,0.73423901
160,0.32000000,0.01051142,0.71874184,0.72925325
161,0.32200000,0.01369096,0.70939454,0.72308550
162,0.32400000,0.01758169,0.69817340,0.71575509
163,0.32600000,0.02212215,0.68516380,0.70728595
164,0.32800000,0.02724118,0.67046542,0.69770660
165,0.33000000,0.03285890,0.65419119,0.68705008
166,0.33200000,0.03888781,0.63646613,0.67535394
167,0.33400000,0.04523414,0.61742595,0.66266010
168,0.33600000,0.05179917,0.59721559,0.64901476
169,0.33800000,0.05848072,0.57598755,0.63446828
170,0.34000000,0.06517475,0.55390021,0.61907496
171,0.34200000,0.07177692,0.53111600,0.60289291
172,0.34400000,0.07818418,0.50779959,0.58598378
173,0.34600000,0.08429647,0.48411603,0.56841250
174,0.34800000,0.09001818,0.46022889,0.55024707
175,0.35000000,0.09525974,0.43629843,0.53155817
176,0.35200000,0.09993901,0.41247990,0.51241891
177,0.35400000,0.10398259,0.38892187,0.49290446
178,0.35600000,0.10732699,0.36576468,0.47309167
179,0.35800000,0.10991962,0.34313907,0.45305869
180,0.36000000,0.11171968,0.32116494,0.43288463
181,0.36200000,0.11269875,0.29995033,0.41264908
182,0.36400000,0.11284125,0.27959053,0.39243178
183,0.36600000,0.11214469,0.26016744,0.37231213
184,0.36800000,0.11061964,0.24174921,0.35236885
185,0.37000000,0.10828957,0.22438994,0.33267951
186,0.37200000,0.10519041,0.20812978,0.31332019
187,0.37400000,0.10136995,0.19299509,0.29436504
188,0.37600000,0.09688699,0.17899895,0.27588593
189,0.37800000,0.09181034,0.16614176,0.25795210
190,0.38000000,0.08621773,0.15441208,0.24062981
191,0.38200000,0.08019440,0.14378763,0.22398203
192,0.38400000,0.07383177,0.13423639,0.20806815
193,0.38600000,0.06722588,0.12571789,0.19294376
194,0.38800000,0.06047585,0.11818452,0.17866037
195,0.39000000,0.05368224,0.11158300,0.16526524
196,0.39200000,0.04694544,0.10585578,0.15280123
197,0.39400000,0.04036409,0.10094253,0.14130662
198,0.39600000,0.03403350,0.09678158,0.13081509
199,0.39800000,0.02804421,0.09331136,0.12135557
200,0.40000000,0.02248056,0.09047170,0.11295226
201,0.40200000,0.01741947,0.08820513,0.10562460
202,0.40400000,0.01292933,0.08645798,0.09938731
203,0.40600000,0.00906897,0.08518144,0.09425041
204,0.40800000,0.00588692,0.08433241,0.09021933
205,0.41000000,0.00342076,0.08387422,0.08729498
206,0.41200000,0.00169668,0.08377721,0.08547389
207,0.41400000,0.00072922,0.08401910,0.08474832
208,0.41600000,0.00052123,0.08458523,0.08510646
209,0.41800000,0.00106398,0.08546857,0.08653256
210,0.42000000,0.00233745,0.08666965,0.08900710
211,0.42200000,0.00431079,0.08819624,0.09250704
212,0.42400000,0.00694299,0.09006295,0.09700594
213,0.42600000,0.01018361,0.09229061,0.10247422
214,0.42800000,0.01397372,0.09490565,0.10887937
215,0.43000000,0.01824689,0.09793920,0.11618609
216,0.43200000,0.02293034,0.10142626,0.12435660
217,0.43400000,0.02794609,0.10540465,0.13335075
218,0.43600000,0.03321226,0.10991404,0.14312630
219,0.43800000,0.03864428,0.11499480,0.15363908
220,0.44000000,0.04415627,0.12068693,0.16484321
221,0.44200000,0.04966230,0.12702898,0.17669128
222,0.44400000,0.05507763,0.13405692,0.18913455
223,0.44600000,0.06032001,0.14180311,0.20212312
224,0.44800000,0.06531081,0.15029530,0.21560611
225,0.45000000,0.06997611,0.15955572,0.22953182
226,0.45200000,0.07424775,0.16960019,0.24384793
227,0.45400000,0.07806423,0.18043739,0.25850162
228,0.45600000,0.08137148,0.19206822,0.27343970
229,0.45800000,0.08412358,0.20448526,0.28860884
230,0.46000000,0.08628330,0.21767231,0.30395562
231,0.46200000,0.08782251,0.23160419,0.31942670
232,0.46400000,0.08872246,0.24624651,0.33496898
233,0.46600000,0.08897397,0.26155570,0.35052966
234,0.46800000,0.08857736,0.27747907,0.36605643
235,0.47000000,0.08754244,0.29395510,0.38149754
236,0.47200000,0.08588813,0.31091379,0.39680191
237,0.47400000,0.08364217,0.32827713,0.41191931
238,0.47600000,0.08084059,0.34595977,0.42680036
239,0.47800000,0.07752710,0.36386964,0.44139674
240,0.48000000,0.07375236,0.38190887,0.45566123
241,0.48200000,0.06957321,0.39997462,0.46954783
242,0.48400000,0.06505180,0.41796009,0.48301188
243,0.48600000,0.06025459,0.43575555,0.49601014
244,0.48800000,0.05525141,0.45324946,0.50850087
245,0.49000000,0.05011440,0.47032959,0.52044398
246,0.49200000,0.04491695,0.48688415,0.53180111
247,0.49400000,0.03973266,0.50280302,0.54253568
248,0.49600000,0.03463422,0.51797883,0.55261305
249,0.49800000,0.02969244,0.53230817,0.56200061
250,0.50000000,0.02497519,0.54569262,0.57066781
251,0.50200000,0.02054647,0.55803988,0.57858635
252,0.50400000,0.01646551,0.56926469,0.58573020
253,0.50600000,0.01278592,0.57928977,0.59207570
254,0.50800000,0.00955502,0.58804667,0.59760169
255,0.51000000,0.00681313,0.59547643,0.60228956
256,0.51200000,0.00459307,0.60153026,0.60612334
257,0.51400000,0.00291974,0.60617002,0.60908977
258,0.51600000,0.00180980,0.60936858,0.61117838
259,0.51800000,0.00127149,0.61111009,0.61238158
260,0.52000000,0.00130461,0.61139007,0.61269467
261,0.52200000,0.00190052,0.61021542,0.61211594
262,0.52400000,0.00304239,0.60760428,0.61064667
263,0.52600000,0.00470549,0.60358571,0.60829121
264,0.52800000,0.00685764,0.59819931,0.60505695
265,0.53000000,0.00945971,0.59149470,0.60095441
266,0.53200000,0.01246628,0.58353086,0.59599714
267,0.53400000,0.01582639,0.57437541,0.59020180
268,0.53600000,0.01948431,0.56410375,0.58358806
269,0.53800000,0.02338046,0.55279817,0.57617862
270,0.54000000,0.02745227,0.54054685,0.56799912
271,0.54200000,0.03163522,0.52744284,0.55907806
272,0.54400000,0.03586377,0.51358297,0.54944674
273,0.54600000,0.04007239,0.49906678,0.53913917
274,0.54800000,0.04419653,0.48399537,0.52819190
275,0.55000000,0.04817357,0.46847037,0.51664394
276,0.55200000,0.05194378,0.45259285,0.50453662
277,0.55400000,0.05545113,0.43646226,0.49191339
278,0.55600000,0.05864416,0.42017551,0.47881968
279,0.55800000,0.06147667,0.40382603,0.46530270
280,0.56000000,0.06390835,0.38750294,0.45141130
281,0.56200000,0.06590534,0.37129034,0.43719568
282,0.56400000,0.06744063,0.35526662,0.42270725
283,0.56600000,0.06849445,0.33950397,0.40799842
284,0.56800000,0.06905439,0.32406792,0.39312231
285,0.57000000,0.06911555,0.30901704,0.37813259
286,0.57200000,0.06868052,0.29440273,0.36308325
287,0.57400000,0.06775920,0.28026914,0.34802835
288,0.57600000,0.06636859,0.26665318,0.33302178
289,0.57800000,0.06453242,0.25358467,0.31811709
290,0.58000000,0.06228071,0.24108654,0.30336725
291,0.58200000,0.05964920,0.22917520,0.28882440
